City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Talara,PE,75.96,Clear,-4.5772,-81.2719,Hostal Oro Negro
248,Broken Hill,AU,55.27,Clouds,-31.95,141.4333,Royal Exchange Hotel
249,San Quintin,MX,64.36,Clear,30.4833,-115.95,Don Eddie's Sport Fishing Center
250,Kahului,US,71.83,Clear,20.8947,-156.47,Maui Seaside Hotel
252,Menongue,AO,70.36,Rain,-14.6585,17.691,Ritz Lauca
253,Gafanha Da Encarnacao,PT,68.05,Rain,40.6181,-8.733,Hotel Barra
258,Ciudad Del Maiz,MX,63.48,Clear,22.4,-99.6,Hotel Casona del General
259,Jining,CN,61.21,Rain,35.405,116.5814,Yunhe Star Hotel
260,Yulara,AU,58.84,Clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
261,Vila Velha,BR,76.95,Clouds,-20.3297,-40.2925,Quality Suites Vila Velha
262,Montmagny,FR,58.71,Clouds,48.9734,2.3469,Eurohotel Paris Nord
263,Nidzica,PL,54.99,Clear,53.3605,20.4275,Zajazd Leśny Noclegi Wesela Przyjęcia Grupy Zorganizowane Komunie Imprezy
266,Damietta,EG,75.07,Clear,31.4165,31.8133,SULIMAN INN
268,Sorong,ID,79.83,Rain,-0.8833,131.25,waigo splash hotel
269,Gushi,CN,61.36,Clouds,34.6425,109.5843,
270,Cap-Aux-Meules,CA,53.65,Clouds,47.3821,-61.8597,Auberge Madeli
272,Korla,CN,54.48,Clouds,41.7597,86.1469,Gulisitan Hotel
273,Hun,LY,79.92,Clouds,29.1268,15.9477,Alrwasi Hotel
274,Tripoli,LY,73.33,Clouds,32.8752,13.1875,Hotel Al-Safwa
276,Ladwa,IN,69.76,Clear,29.9944,77.0444,Tari Jatt
279,Hartselle,US,55.65,Clouds,34.4434,-86.9353,Country Cottage-Hartselle
282,Rawson,AR,56.57,Clear,-43.3002,-65.1023,Hosteria Sampedro
283,Brae,GB,51.71,Clouds,60.3964,-1.353,Busta House Hotel
285,Lengshuitan,CN,64.6,Clouds,26.4111,111.5956,Jialong Hotel
286,Marzuq,YE,78.42,Clouds,14.4,46.4667,
287,Susner,IN,69.13,Clear,23.95,76.0833,BaBji Electronics
289,Madisonville,US,54.03,Clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
292,Batobato,PH,78.78,Clouds,6.8252,126.0846,Huyaanan Hotel
293,Kendari,ID,75.27,Clouds,-3.945,122.4989,Hotel Wixel
295,Archidona,ES,71.42,Clouds,37.0965,-4.3887,Hotel Escua
296,Lysa Hora,UA,51.76,Clear,48.1706,31.1099,
298,Alyangula,AU,76.87,Clouds,-13.8483,136.4192,Groote Eylandt Lodge
301,Calbuco,CL,56.41,Clear,-41.768,-73.1273,Hotel Colonial
302,Birin,NP,53.78,Clouds,26.8865,88.0718,Sangam hotel and lodge
303,Teluknaga,ID,79.18,Haze,-6.0989,106.6381,Bale Ocasa hotel
305,Lexington,US,54.99,Clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
306,Surt,LY,75.87,Clear,31.2089,16.5887,الهادي ابوشعاله سرت
307,Loa Janan,ID,73.56,Clouds,-0.583,117.095,Bangsal Pak Tikno
308,Constitucion,CL,64.71,Clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
309,Torbay,CA,51.76,Clouds,47.6666,-52.7314,Gallows Cove
311,Havelock,US,63.99,Clear,34.8791,-76.9013,Sherwood Motel
312,Tokuyama,JP,62.91,Clouds,34.05,131.8167,Toyoko INN Tokuyama eki Shinkansenguchi
315,Gamba,GA,79.2,Rain,-2.65,10.0,
316,Viedma,AR,59.45,Clouds,-40.8135,-62.9967,Hotel Cristal
319,Starup,DK,55.83,Rain,55.241,9.535,Hotel Norden
320,Sibolga,ID,77.59,Rain,1.7427,98.7792,Hotel Syariah CN Darussalam
323,Jaque,PA,76.48,Rain,7.5175,-78.1703,Aventuras Jaque S.A
327,Tongchuan,CN,56.61,Clouds,35.0806,109.0897,Tongchuan Hotel
329,Mosquera,CO,64.49,Clouds,4.7059,-74.2302,Hotel SJ
332,Choszczno,PL,55.99,Clouds,53.169,15.4205,Karczma Zbójnicka
334,Jackson,US,54.64,Clouds,42.4165,-122.8345,Agate Village Apartments
335,Valparaiso,CL,64.63,Haze,-33.0393,-71.6273,Hotel Ultramar
336,Chervona Sloboda,UA,51.21,Clear,49.3789,32.1464,Sportohota
337,Luan,CH,50.04,Rain,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
338,Bonthe,SL,76.71,Clouds,7.5264,-12.505,Bonthe Holiday Village
340,Pacific Grove,US,59.02,Mist,36.6177,-121.9166,Lovers Point Inn
341,Meulaboh,ID,77.59,Clouds,4.1363,96.1285,Kost Pria
342,San Patricio,US,70.52,Clear,28.017,-97.5169,"Motel 6 Sinton, TX"
344,Sohbatpur,PK,78.26,Clear,28.5202,68.5434,Allu Hotel
345,Balkanabat,TM,59.76,Clouds,39.5108,54.3671,Nebitchi Hotel
346,Avera,US,62.71,Clouds,33.194,-82.5271,
347,Sainte-Suzanne,RE,75.42,Clear,-20.9061,55.6089,Gites Ango
348,Pathanamthitta,IN,75.07,Rain,9.2667,76.7833,Vijaya Residency
349,Chai Nat,TH,76.59,Rain,15.1167,100.1,Thai Boxing ROSEINN RESORT
350,Gondanglegi,ID,77.49,Clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
355,Pasighat,IN,67.68,Clear,28.0667,95.3333,Siang Guest House
356,Yining,CN,60.98,Clouds,29.0361,114.5636,Xiushui Hotel
357,Shingu,JP,61.21,Clouds,33.7333,135.9833,Shingu UI Hotel
359,Honiara,SB,78.22,Clouds,-9.4333,159.95,Heritage Park Hotel
360,Nambucca Heads,AU,64.17,Clouds,-30.65,153.0,Marcel Towers Holiday Apartments
364,Coihaique,CL,52.41,Clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
365,Marihatag,PH,77.74,Clouds,8.7936,126.2969,Mariner's Place & Resort
367,Bonavista,CA,51.12,Clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
368,Coquimbo,CL,56.93,Clouds,-29.9533,-71.3436,Punto de encuentro
370,Tabuk,PH,71.91,Clouds,17.4189,121.4443,Golden Berries Hotel and Convention
372,Imbituba,BR,69.69,Rain,-28.24,-48.6703,Praia Hotel Imbituba
375,San Ignacio,BZ,73.54,Clear,17.1561,-89.0714,Rainforest Haven Inn
376,Ewa Beach,US,72.7,Clear,21.3156,-158.0072,Uncle Junior Robert
377,Gat,IL,78.4,Clouds,31.61,34.7642,OlusHome
384,Juba,SS,76.51,Rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
387,Metro,ID,77.76,Clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
388,Wilmington,US,64.94,Clear,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
389,Varkkallai,IN,78.58,Clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
390,Nosy Varika,MG,72.37,Clouds,-20.5833,48.5333,Hotel Volazara
391,Todos Santos,MX,79.02,Clear,23.45,-110.2167,Hotel California Todos Santos
392,Airai,TL,63.68,Clouds,-8.9266,125.4092,Juvinal Martin
395,Port Hedland,AU,71.65,Clear,-20.3167,118.5667,The Esplanade Hotel
397,Bubaque,GW,74.7,Rain,11.2833,-15.8333,"Casa Dora, Bubaque"
400,Zempoala,MX,79.92,Clouds,19.45,-96.4167,Panteon Cempoala
404,Wonopringgo,ID,78.94,Clouds,-6.9833,109.6167,Bu surti
405,Kloulklubed,PW,79.3,Rain,7.0419,134.2556,Storyboard Beach Resort
406,San Joaquin,US,60.13,Clear,37.9333,-121.3011,University Plaza Waterfront Hotel
409,Taltal,CL,67.08,Clouds,-25.4,-70.4833,Residencial Karime
411,Hasaki,JP,55.8,Clouds,35.7333,140.8333,Hotel Sunrise Choshi
416,Atherton,GB,55.54,Clear,53.5237,-2.4935,The Lion Inn
422,Kokstad,ZA,60.73,Clouds,-30.5472,29.4241,Majestic Bed and Breakfast
423,Elizabeth City,US,68.05,Clear,36.2946,-76.2511,Hampton Inn Elizabeth City
424,Dingle,PH,75.74,Clouds,10.9995,122.6711,SEGAYA PROPERTY
427,Nakhon Phanom,TH,73.11,Clouds,17.3333,104.4167,ป่ายางรีสอร์ท
429,Hamilton,US,55.58,Mist,39.1834,-84.5333,Six Acres Bed & Breakfast
430,Namatanai,PG,79.29,Rain,-3.6667,152.4333,Seagulls Inn Namatani
435,Ninh Binh,VN,66.56,Clouds,20.2539,105.975,Kinh Do Hotel
439,Chute-Aux-Outardes,CA,51.4,Clear,49.1168,-68.399,Camp St-Paul Gite Plein-Air
443,Hecun,CN,60.33,Clouds,36.5333,114.1111,Yijia Hotel
447,Beaumont,US,60.96,Clear,30.0861,-94.1019,Super 8 by Wyndham Beaumont
448,Morgantown,US,55.2,Clouds,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
451,Jieshi,CN,71.94,Clouds,22.8134,115.8257,Yuehai Hotel
454,Ulladulla,AU,50.9,Clouds,-35.35,150.4667,Sandpiper Motel
456,Inhambane,MZ,75.18,Clouds,-23.865,35.3833,Oceano
458,Port Moresby,PG,76.42,Clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
459,Lata,PT,68.36,Rain,40.1629,-8.3327,Casa Maquia
465,Vangaindrano,MG,70.79,Clouds,-23.35,47.6,Hotel Fanilo
466,Tura,IN,66.06,Clear,25.5198,90.2201,Hotel RIKMAN Continental
467,La Seyne-Sur-Mer,FR,58.96,Clouds,43.0982,5.8847,La Frégate
468,Isangel,VU,75.31,Clear,-19.55,169.2667,Tanna Lodge
469,Calama,CL,72.09,Clear,-22.4667,-68.9333,Diego De Almagro Calama
471,Vallenar,CL,78.93,Clear,-28.5708,-70.7581,Humacao Bed & Breakfast
474,El Chimbo,HN,68.88,Clouds,14.1333,-87.1167,Eco-Hotel Shangri-La
477,Vrangel,RU,53.78,Clouds,42.7297,133.0839,"Отель ""БАЛИ"""
480,Tacana,GT,56.3,Clouds,15.2333,-92.0833,Al Dorado
481,Bardiyah,LY,74.95,Clouds,31.7561,25.0865,بورتو بردية
483,Mareeba,AU,72.32,Clouds,-17.0,145.4333,Trinity Plains Tourist Park
485,Mahbubabad,IN,75.88,Clouds,17.6167,80.0167,Vedansh Residency
486,Ravar,IR,67.44,Clear,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
488,Katsuura,JP,60.91,Clear,35.1333,140.3,Katsuura Hotel Mikazuki
491,Dunedin,NZ,59.81,Clear,-45.8742,170.5036,Scenic Hotel Southern Cross
493,Eureka,US,59.67,Clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
495,Tiarei,PF,75.22,Clouds,-17.5333,-149.3333,Le Rocher de Tahiti
498,Mildura,AU,53.56,Clear,-34.2,142.15,Mercure Hotel Mildura
499,Turkistan,KZ,51.78,Clouds,43.0,68.0,
500,Praia Da Vitoria,PT,75.45,Clouds,38.7333,-27.0667,Hotel Branco I
501,Arawa,PG,76.95,Clouds,-6.2132,155.5367,Coastline Guest House
502,Raudeberg,NO,54.19,Clouds,61.9875,5.1352,Nordre Silda.
507,Buluang,PH,75.92,Clouds,13.3068,123.3425,Enon Beach Resort
508,Agoura Hills,US,66.69,Clear,34.1364,-118.7745,Sheraton Agoura Hills Hotel
509,Port-De-Bouc,FR,60.58,Mist,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
511,Belfast,GB,52.12,Clouds,54.5833,-5.9333,Wellington Park Hotel
512,Hirara,JP,76.6,Clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
515,Hanstholm,DK,52.75,Rain,57.1167,8.6167,Hotel Hanstholm
518,Joshimath,IN,51.22,Clear,30.5667,79.5667,Shivalik Camps & Resort
522,Preobrazheniye,RU,51.8,Clouds,42.9019,133.9064,Campsite Orlan
523,Camacha,PT,76.53,Clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
524,Vila Franca Do Campo,PT,76.19,Clouds,37.7167,-25.4333,Pestana Bahia Praia
526,Christchurch,NZ,61.95,Clear,-43.5333,172.6333,The George
528,Carballo,ES,65.55,Clouds,43.213,-8.691,Pazo do Souto
529,Hualmay,PE,66.33,Clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
533,Langsa,ID,75.87,Clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
534,Colares,PT,68.99,Fog,38.7992,-9.4469,Arribas Sintra Hotel
536,Kaka,TM,62.4,Clouds,37.3482,59.6143,
537,Neyshabur,IR,63.1,Clouds,36.2133,58.7958,Amiran Hotel
538,Matamoros,MX,66.38,Clear,25.5333,-103.25,Quinta Belem
540,Bure,ET,62.13,Clouds,10.7,37.0667,Holiday
545,Tarabha,IN,76.86,Clouds,20.7333,83.65,The spicy house
547,Peniche,PT,70.61,Rain,39.3558,-9.3811,Hotel Star inn Peniche
548,Sambava,MG,76.28,Clouds,-14.2667,50.1667,Melrose
550,Martapura,ID,75.29,Clouds,-3.4167,114.85,Montana Hotel Syariah
555,Sobreira,PT,61.59,Clouds,41.5237,-7.8023,Quinta de Santo Aleixo
559,Xingyi,CN,57.0,Clouds,24.1877,102.817,
561,Ballina,AU,67.78,Clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
566,Karratha,AU,73.99,Clear,-20.7377,116.8463,ibis Styles Karratha
574,Dawei,MM,77.5,Clouds,14.0833,98.2,Hotel Dawei
575,Chengde,CN,50.49,Clouds,40.9725,117.9361,Super 8 Hotel
578,East Palo Alto,US,60.91,Clouds,37.4688,-122.1411,Four Seasons Hotel Silicon Valley at East Palo Alto
579,Pahrump,US,67.17,Clear,36.2083,-115.9839,Best Western Pahrump Oasis
580,Consett,GB,50.97,Clouds,54.854,-1.8316,Derwent Manor Boutique Hotel
590,Kimbe,PG,76.26,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
591,Biloela,AU,75.69,Clouds,-24.4167,150.5,Biloela Silo Motor Inn
592,Kalaleh,IR,60.4,Clouds,37.3807,55.4916,عطر و ادکلن پارسیس
593,Naze,JP,68.04,Clear,28.3667,129.4833,オーベルジュ・アガルイ
596,Beloha,MG,69.26,Clouds,-25.1667,45.05,
597,Saraland,US,63.3,Clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
600,North Bend,US,52.07,Clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
604,Wajima,JP,60.91,Clouds,37.4,136.9,Wajiima Onsen Yashio
605,Luganville,VU,78.57,Clear,-15.5333,167.1667,The Espiritu Hotel
606,Naron,ES,66.69,Clouds,43.5167,-8.1528,Marcial
607,Sechura,PE,73.11,Clouds,-5.5569,-80.8222,Hospedaje Costa Bella
612,Portland,US,52.38,Clear,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
616,Seddon,AU,52.72,Clear,-37.8068,144.8916,Footscray Motor Inn
619,Vanimo,PG,79.3,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
620,Mayo,US,62.58,Clouds,38.8876,-76.5119,Resorts Resource Group International
623,Plettenberg Bay,ZA,65.71,Clear,-34.0527,23.3716,Thanda Vista B&B
625,Griffith,US,56.39,Clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
626,Goroka,PG,59.36,Clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
628,Tomatlan,MX,78.6,Clear,19.9333,-105.25,El Salvial
629,Hervey Bay,AU,77.04,Clouds,-25.2986,152.8535,Shelly Bay Resort
630,Turia,RO,55.09,Clear,46.0333,26.05,Pensiunea Lăcrămioara
631,Kashan,IR,69.85,Clouds,33.9831,51.4364,Manouchehri Traditional House
632,Shintomi,JP,60.55,Clouds,32.0785,131.4723,ホテルスイート
641,Malaryta,BY,55.92,Clouds,51.7905,24.074,охотбаза Орехово
646,Netarhat,IN,57.42,Clouds,23.4833,84.2667,Hotel Verma
647,Omboue,GA,78.46,Rain,-1.5746,9.2618,Hotel Olako
649,San Carlos,VE,75.2,Clouds,9.6612,-68.5827,Hotel Paternopoli
653,Sarvar,HU,57.06,Clear,47.2539,16.9352,Park Inn by Radisson Sárvár Resort & Spa
654,Nanpiao,CN,52.43,Clouds,41.0982,120.7479,Xinxing Hotel
656,Tsiroanomandidy,MG,79.95,Clouds,-18.7667,46.0333,Hotel du Bongolave
657,Monterey,US,52.0,Clear,36.2505,-121.2516,
