City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2021-10-28 22:07:56,-16.4833,-151.75,78.55,79,34,8.34
1,Evensk,RU,2021-10-28 22:07:56,61.95,159.2333,18.03,95,100,6.06
2,Tuktoyaktuk,CA,2021-10-28 22:07:57,69.4541,-133.0374,27.45,85,100,4.09
3,Saint-Augustin,CA,2021-10-28 22:07:57,51.226,-58.6502,38.39,79,0,4.29
4,Ribeira Grande,PT,2021-10-28 22:07:57,38.5167,-28.7,69.28,92,90,26.96
5,Atuona,PF,2021-10-28 22:07:58,-9.8,-139.0333,78.66,67,1,16.53
6,Sao Filipe,CV,2021-10-28 22:07:58,14.8961,-24.4956,79.0,79,100,12.17
7,Lompoc,US,2021-10-28 22:06:35,34.6391,-120.4579,91.71,28,1,12.66
8,Na Wa,TH,2021-10-28 22:07:59,17.4897,104.1006,70.9,87,98,3.96
9,Stonewall,CA,2021-10-28 22:07:59,50.1344,-97.3268,51.98,59,23,9.26
10,Cherskiy,RU,2021-10-28 22:07:59,68.75,161.3,-14.53,93,89,3.69
11,Longyearbyen,SJ,2021-10-28 22:08:00,78.2186,15.6401,17.44,79,0,9.22
12,Bredasdorp,ZA,2021-10-28 22:08:00,-34.5322,20.0403,57.27,92,20,4.63
13,Goba,ET,2021-10-28 22:08:00,7.0167,39.9833,47.41,85,49,4.25
14,Jamestown,US,2021-10-28 22:08:01,42.097,-79.2353,61.07,63,1,9.22
15,Bluff,NZ,2021-10-28 22:08:01,-46.6,168.3333,57.72,82,49,7.18
16,Torbay,CA,2021-10-28 22:03:19,47.6666,-52.7314,39.58,93,100,5.01
17,Whitianga,NZ,2021-10-28 22:08:02,-36.8333,175.7,65.3,72,23,9.8
18,Vaini,TO,2021-10-28 22:08:02,-21.2,-175.2,80.76,78,75,9.22
19,Arraial Do Cabo,BR,2021-10-28 22:08:03,-22.9661,-42.0278,72.16,89,100,14.76
20,Colares,PT,2021-10-28 22:08:03,38.7992,-9.4469,66.33,74,100,3.0
21,Provideniya,RU,2021-10-28 22:04:57,64.3833,-173.3,15.91,73,90,8.95
22,Camopi,GF,2021-10-28 22:08:04,3.1655,-52.3158,82.36,57,100,5.14
23,Maniitsoq,GL,2021-10-28 22:08:04,65.4167,-52.9,32.88,43,100,5.79
24,Albany,US,2021-10-28 22:05:21,42.6001,-73.9662,51.8,82,0,1.79
25,Hilo,US,2021-10-28 22:08:04,19.7297,-155.09,82.13,69,1,11.5
26,Kodiak,US,2021-10-28 22:08:05,57.79,-152.4072,40.51,48,1,4.61
27,Yellowknife,CA,2021-10-28 22:08:05,62.456,-114.3525,35.42,99,100,5.01
28,Kahului,US,2021-10-28 22:08:05,20.8947,-156.47,84.22,72,40,21.85
29,Busselton,AU,2021-10-28 22:08:06,-33.65,115.3333,47.1,80,60,7.65
30,Butaritari,KI,2021-10-28 22:08:06,3.0707,172.7902,82.11,70,7,12.15
31,Alugan,PH,2021-10-28 22:08:06,12.2188,125.4808,78.89,84,97,5.64
32,Severo-Kurilsk,RU,2021-10-28 22:08:07,50.6789,156.125,42.58,93,100,8.5
33,Havoysund,NO,2021-10-28 22:08:07,70.9963,24.6622,38.28,86,100,23.82
34,Barrow,US,2021-10-28 22:08:07,71.2906,-156.7887,21.22,86,90,12.66
35,Okhotsk,RU,2021-10-28 22:08:08,59.3833,143.3,21.97,90,60,9.13
36,Oranjestad,AW,2021-10-28 22:05:59,12.524,-70.027,84.15,79,20,21.85
37,Marsa Matruh,EG,2021-10-28 22:08:08,31.3525,27.2453,71.58,81,24,6.69
38,Meulaboh,ID,2021-10-28 22:08:09,4.1363,96.1285,77.95,87,91,4.45
39,Qaanaaq,GL,2021-10-28 22:04:53,77.484,-69.3632,21.0,89,100,6.85
40,Pisco,PE,2021-10-28 22:08:09,-13.7,-76.2167,66.25,72,0,20.71
41,Mar Del Plata,AR,2021-10-28 22:08:09,-38.0023,-57.5575,71.62,83,0,20.0
42,Vao,NC,2021-10-28 22:08:10,-22.6667,167.4833,71.19,69,0,12.95
43,Tromso,NO,2021-10-28 22:08:10,69.6496,18.957,41.65,93,75,9.22
44,Bengkulu,ID,2021-10-28 22:04:11,-3.8004,102.2655,77.07,85,100,3.2
45,Ushuaia,AR,2021-10-28 22:05:09,-54.8,-68.3,60.46,33,20,12.66
46,Mataura,NZ,2021-10-28 22:08:11,-46.1927,168.8643,64.22,61,24,1.5
47,Yarada,IN,2021-10-28 22:08:11,17.65,83.2667,80.92,78,75,2.3
48,Rikitea,PF,2021-10-28 22:08:11,-23.1203,-134.9692,75.42,81,86,18.61
49,Cape Town,ZA,2021-10-28 22:08:11,-33.9258,18.4232,62.1,69,15,1.99
50,Avera,US,2021-10-28 22:08:12,33.194,-82.5271,67.51,99,100,3.62
